variable,class,n,n_nonmiss,prop_nonmiss,n_levels,pseudo_R2,p_value
Site,factor,5265,5265,1,6,0.015044575774911917,0.2841007915653131
Pair,factor,5265,5265,1,3,0.0010954570689696297,0.8345994494689442
Type,factor,5265,5265,1,2,0.00359195291169756,0.24930090177218295
Date,Date,5265,5265,1,NA,0.0010897149635248349,0.5389402756176435
Month_Year,factor,5265,5265,1,13,0.01684441823353966,0.7427200602021078
Depth_m,factor,5265,4694,0.8915479582146248,45,0.06142459318777427,0.509891337000703
Visibility_m,factor,5265,4695,0.8917378917378918,17,0.016531075360705527,0.9851185031718851
Current,factor,5265,4755,0.9031339031339032,2,1.7448076982051752e-4,0.8208911025800668
Boats,factor,5265,4605,0.8746438746438746,12,0.013304999275302043,0.9412714990908208
Time,character,5265,5025,0.9544159544159544,61,0.07931072509544057,0.1125308390205596
Count.Type,factor,5265,5265,1,2,0.07117554500735324,1.6064962268607693e-9
Inclusion_m,integer,5265,5265,1,NA,0.28342995168389484,7.191898272086904e-49
Researchers,factor,5265,5265,1,53,0.08381774283744892,0.004795635100401586
