survey_id,richness
No Name Wreck.2024-03-28.Belt,6
Hin Pee Wee.2024-08-04.Belt,7
No Name Pinnacle.2024-09-28.Belt,5
Sattakut.2024-09-28.Belt,10
No Name Pinnacle.2024-10-04.Belt,6
No Name Wreck.2024-10-04.Belt,3
Aow Mao Wreck.2024-10-08.Belt,5
Aow Mao.2024-10-25.Belt,5
No Name Wreck.2025-02-10.Belt,3
Hin Pee Wee.2025-02-11.Belt,4
Hin Pee Wee.2025-02-12.Belt,4
Sattakut.2025-02-12.Belt,5
Hin Pee Wee.2025-02-17.Belt,5
No Name Wreck.2025-02-18.Belt,7
No Name Pinnacle.2025-02-19.Belt,5
No Name Wreck.2025-02-27.Belt,5
Sattakut.2025-02-27.Belt,7
No Name Pinnacle.2025-02-28.Belt,1
No Name Wreck.2025-02-28.Belt,4
No Name Wreck.2025-03-03.Belt,3
Aow Mao.2025-03-05.Belt,1
Aow Mao Wreck.2025-03-05.Belt,6
Aow Mao Wreck.2025-03-13.Belt,3
Sattakut.2025-03-19.Belt,5
No Name Pinnacle.2025-03-24.Belt,3
No Name Wreck.2025-03-24.Belt,3
Aow Mao.2025-03-27.Belt,3
Aow Mao Wreck.2025-03-27.Belt,8
Aow Mao.2025-04-10.Belt,5
Aow Mao Wreck.2025-04-10.Belt,4
No Name Pinnacle.2025-04-23.Belt,6
No Name Wreck.2025-04-23.Belt,5
Hin Pee Wee.2025-04-28.Belt,13
No Name Wreck.2025-05-05.Belt,4
Aow Mao.2025-05-07.Belt,2
Hin Pee Wee.2025-05-13.Belt,4
Aow Mao Wreck.2025-05-27.Belt,3
Sattakut.2025-05-29.Belt,8
Aow Mao Wreck.2025-06-03.Belt,5
Aow Mao.2025-06-10.Belt,5
Aow Mao Wreck.2025-06-10.Belt,4
Aow Mao.2025-06-18.Belt,3
No Name Pinnacle.2025-06-23.Belt,6
No Name Wreck.2025-06-23.Belt,5
Hin Pee Wee.2025-06-24.Belt,7
No Name Pinnacle.2025-06-24.Belt,4
No Name Wreck.2025-06-24.Belt,3
No Name Pinnacle.2025-07-28.Belt,2
No Name Wreck.2025-07-28.Belt,2
Hin Pee Wee.2025-08-04.Belt,6
No Name Pinnacle.2025-08-05.Belt,2
No Name Wreck.2025-08-05.Belt,3
No Name Pinnacle.2025-08-06.Belt,0
Aow Mao Wreck.2025-08-08.Belt,6
Aow Mao.2025-08-13.Belt,3
Aow Mao Wreck.2025-08-13.Belt,5
No Name Pinnacle.2025-08-19.Belt,4
No Name Wreck.2025-08-19.Belt,5
Aow Mao Wreck.2025-08-20.Belt,10
Aow Mao Wreck.2025-08-21.Belt,6
Sattakut.2025-08-21.Belt,8
Hin Pee Wee.2025-09-03.Belt,7
Hin Pee Wee.2025-09-09.Belt,7
No Name Wreck.2025-09-09.Belt,6
Aow Mao.2025-09-10.Belt,5
Aow Mao Wreck.2025-09-18.Belt,7
Aow Mao Wreck.2025-09-25.Belt,7
Aow Mao.2025-10-06.Belt,3
Aow Mao Wreck.2025-10-06.Belt,8
No Name Pinnacle.2025-10-08.Belt,4
No Name Wreck.2025-10-08.Belt,6
Sattakut.2025-10-08.Belt,7
Hin Pee Wee.2025-10-09.Belt,4
Sattakut.2025-10-09.Belt,7
Aow Mao.2025-10-15.Belt,3
Aow Mao Wreck.2025-10-15.Belt,4
Aow Mao Wreck.2025-10-17.Belt,5
Aow Mao.2025-10-20.Belt,2
Hin Pee Wee.2025-10-22.Belt,2
No Name Pinnacle.2025-10-22.Belt,3
No Name Wreck.2025-10-22.Belt,3
Sattakut.2025-10-22.Belt,5
No Name Wreck.2024-03-28.Stationary,12
Hin Pee Wee.2024-08-04.Stationary,13
No Name Pinnacle.2024-09-28.Stationary,14
Sattakut.2024-09-28.Stationary,4
No Name Pinnacle.2024-10-04.Stationary,11
No Name Wreck.2024-10-04.Stationary,5
Aow Mao Wreck.2024-10-08.Stationary,6
Aow Mao.2024-10-25.Stationary,14
No Name Wreck.2025-02-10.Stationary,6
Hin Pee Wee.2025-02-11.Stationary,7
Hin Pee Wee.2025-02-12.Stationary,5
Sattakut.2025-02-12.Stationary,2
Hin Pee Wee.2025-02-17.Stationary,9
No Name Wreck.2025-02-18.Stationary,9
No Name Pinnacle.2025-02-19.Stationary,5
No Name Wreck.2025-02-27.Stationary,4
Sattakut.2025-02-27.Stationary,6
No Name Pinnacle.2025-02-28.Stationary,9
No Name Wreck.2025-02-28.Stationary,8
No Name Wreck.2025-03-03.Stationary,7
Aow Mao.2025-03-05.Stationary,10
Aow Mao Wreck.2025-03-05.Stationary,6
Aow Mao Wreck.2025-03-13.Stationary,5
Sattakut.2025-03-19.Stationary,8
No Name Pinnacle.2025-03-24.Stationary,7
No Name Wreck.2025-03-24.Stationary,9
Aow Mao.2025-03-27.Stationary,11
