"Species","Model_structure","Contrast","AR:NR ratio","95% CI low","95% CI high","p-value"
"Ballistoides viridescens","Type + life_stage","Marginal",0.4,0.04,3.95,"0.433"
"Caesio xanthonota","Type x life_stage","juvenile",3.38,1.62,7.06,"0.001"
"Chaetodon octofasciatus","Type + life_stage","Marginal",0.97,NA,NA,NA
"Chaetodon weibeli","Type x life_stage","juvenile",1.92,NA,NA,NA
"Cheilinus fasciatus","Type x life_stage","juvenile",0.88,NA,NA,NA
"Diagramma pictum","Type + life_stage","Marginal",1.29,0.38,4.41,"0.683"
"Ephippidae spp.","Type x life_stage","juvenile",38.33,NA,NA,NA
"Epinephelus fasciatus","Type x life_stage","juvenile",1.12,0.54,2.33,"0.762"
"Epinephelus fuscoguttatus","Type x life_stage","juvenile",0.72,NA,NA,NA
"Flavocaranx bajad","Type x life_stage","juvenile",1.32,0.68,2.56,"0.412"
"Heniochus acuminatus","Type x life_stage","juvenile",1.31,NA,NA,NA
"Labroides dimidiatus","Type + life_stage","Marginal",0.64,NA,NA,NA
"Lutjanus argentimaculatus","Type x life_stage","juvenile",0.86,0.26,2.85,"0.807"
"Lutjanus russellii","Type x life_stage","juvenile",2.88,1.39,5.95,"0.004"
"Lutjanus vitta","Type x life_stage","juvenile",0.37,NA,NA,NA
"Neopomacentrus cyanomos","Type x life_stage","juvenile",1.59,1.05,2.4,"0.028"
"Plectorhinchus gibbosus","Type + life_stage","Marginal",1.53,0.43,5.42,"0.507"
"Plectropomus spp.","Type x life_stage","juvenile",0.93,NA,NA,NA
"Pomacanthus annularis","Type x life_stage","juvenile",0.77,0.29,2.07,"0.610"
"Pomacentrus alexanderae","Type x life_stage","juvenile",1.7,1,2.89,"0.052"
"Scarus rivulatus","Type x life_stage","juvenile",1.65,0.98,2.79,"0.061"
"Siganus javus","Type x life_stage","juvenile",2.16,1.44,3.26,"<0.001"
"Siganus virgatus","Type + life_stage","Marginal",0.71,0.22,2.25,"0.559"
"Sphyraena flavicauda","Type x life_stage","juvenile",1.7,0.15,18.72,"0.666"
"Thalassoma lunare","Type + life_stage","Marginal",0.79,0.29,2.14,"0.642"
"Turrum fulvoguttatum","Type + life_stage","Marginal",1.09,NA,NA,NA
