"Effect","Estimate","SE","CI","p_value"
"(Intercept)",-2.1,0.437,"[-2.95, -1.24]","<0.001"
"TypeArtificial",1.26,0.557,"[0.168, 2.35]","0.024"
"Size_Class_f1-2",0.249,0.377,"[-0.49, 0.988]","0.509"
"Size_Class_f2-5",-0.293,0.351,"[-0.982, 0.396]","0.404"
"Size_Class_f5-10",-1.98,0.345,"[-2.66, -1.31]","<0.001"
"Size_Class_f10-15",-2.88,0.37,"[-3.61, -2.15]","<0.001"
"Size_Class_f15-20",-1.51,0.416,"[-2.33, -0.696]","<0.001"
"Size_Class_f20-50",-1.13,0.417,"[-1.95, -0.318]","0.006"
"Size_Class_f50-100",-3.72,0.475,"[-4.66, -2.79]","<0.001"
"Size_Class_f100+",-7.42,1.25,"[-9.86, -4.98]","<0.001"
"PairNo Name",-0.0198,0.197,"[-0.407, 0.367]","0.920"
"PairSattakut",0.85,0.225,"[0.409, 1.29]","<0.001"
"Count.TypeStationary",3.4,0.242,"[2.92, 3.87]","<0.001"
"TypeArtificial:Size_Class_f1-2",-0.911,0.605,"[-2.1, 0.276]","0.132"
"TypeArtificial:Size_Class_f2-5",-1.12,0.575,"[-2.24, 0.00882]","0.052"
"TypeArtificial:Size_Class_f5-10",-1.41,0.564,"[-2.52, -0.307]","0.012"
"TypeArtificial:Size_Class_f10-15",-0.813,0.577,"[-1.94, 0.318]","0.159"
"TypeArtificial:Size_Class_f15-20",-0.745,0.609,"[-1.94, 0.449]","0.221"
"TypeArtificial:Size_Class_f20-50",0.336,0.625,"[-0.889, 1.56]","0.590"
"TypeArtificial:Size_Class_f50-100",2.45,0.663,"[1.15, 3.75]","<0.001"
"TypeArtificial:Size_Class_f100+",6.28,1.36,"[3.61, 8.95]","<0.001"
"(Intercept)",1.48,0.193,"[1.1, 1.86]","<0.001"
"TypeArtificial",0.629,0.137,"[0.361, 0.897]","<0.001"
"Size_Class_f1-2",-0.426,0.169,"[-0.757, -0.0957]","0.011"
"Size_Class_f2-5",-1.14,0.175,"[-1.48, -0.794]","<0.001"
"Size_Class_f5-10",-2.68,0.36,"[-3.39, -1.98]","<0.001"
"Size_Class_f10-15",-3.34,0.561,"[-4.44, -2.24]","<0.001"
"Size_Class_f15-20",-3.11,0.42,"[-3.93, -2.29]","<0.001"
"Size_Class_f20-50",-3.79,0.713,"[-5.19, -2.4]","<0.001"
"Size_Class_f50-100",-2.77,0.384,"[-3.52, -2.02]","<0.001"
"Size_Class_f100+",0.0532,0.318,"[-0.569, 0.676]","0.867"
