"Effect","Estimate","SE","CI","p_value"
"(Intercept)",-2.11,0.443,"[-2.98, -1.24]","<0.001"
"TypeArtificial",1.16,0.586,"[0.0149, 2.31]","0.047"
"Size_Class_f1-2",0.222,0.38,"[-0.523, 0.968]","0.559"
"Size_Class_f2-5",-0.314,0.356,"[-1.01, 0.383]","0.377"
"Size_Class_f5-10",-2.01,0.349,"[-2.69, -1.32]","<0.001"
"Size_Class_f10-15",-2.9,0.374,"[-3.64, -2.17]","<0.001"
"Size_Class_f15-20",-1.53,0.421,"[-2.35, -0.701]","<0.001"
"Size_Class_f20-50",-1.18,0.421,"[-2, -0.35]","0.005"
"Size_Class_f50-100",-3.76,0.483,"[-4.71, -2.81]","<0.001"
"Size_Class_f100+",-8.98,1.52,"[-12, -6]","<0.001"
"date_s",-0.204,0.297,"[-0.786, 0.378]","0.492"
"PairNo Name",0.0201,0.202,"[-0.376, 0.416]","0.921"
"PairSattakut",0.843,0.228,"[0.396, 1.29]","<0.001"
"Count.TypeStationary",3.45,0.245,"[2.97, 3.93]","<0.001"
"TypeArtificial:Size_Class_f1-2",-0.849,0.626,"[-2.08, 0.378]","0.175"
"TypeArtificial:Size_Class_f2-5",-1.08,0.596,"[-2.25, 0.0866]","0.070"
"TypeArtificial:Size_Class_f5-10",-1.35,0.588,"[-2.5, -0.196]","0.022"
"TypeArtificial:Size_Class_f10-15",-0.707,0.604,"[-1.89, 0.476]","0.242"
"TypeArtificial:Size_Class_f15-20",-0.701,0.633,"[-1.94, 0.54]","0.268"
"TypeArtificial:Size_Class_f20-50",0.503,0.651,"[-0.774, 1.78]","0.440"
"TypeArtificial:Size_Class_f50-100",2.63,0.69,"[1.28, 3.98]","<0.001"
"TypeArtificial:Size_Class_f100+",7.52,1.65,"[4.29, 10.8]","<0.001"
"TypeArtificial:date_s",0.274,0.17,"[-0.06, 0.608]","0.108"
"Size_Class_f1-2:date_s",0.0407,0.315,"[-0.577, 0.659]","0.897"
"Size_Class_f2-5:date_s",0.197,0.298,"[-0.388, 0.782]","0.509"
"Size_Class_f5-10:date_s",0.121,0.29,"[-0.447, 0.689]","0.675"
"Size_Class_f10-15:date_s",0.219,0.293,"[-0.355, 0.792]","0.455"
"Size_Class_f15-20:date_s",0.295,0.302,"[-0.298, 0.887]","0.330"
"Size_Class_f20-50:date_s",-0.0917,0.308,"[-0.695, 0.511]","0.766"
"Size_Class_f50-100:date_s",-0.00146,0.322,"[-0.632, 0.629]","0.996"
"Size_Class_f100+:date_s",-1.7,0.656,"[-2.99, -0.416]","0.009"
"(Intercept)",1.5,0.195,"[1.12, 1.88]","<0.001"
"TypeArtificial",0.603,0.136,"[0.335, 0.87]","<0.001"
"Size_Class_f1-2",-0.427,0.168,"[-0.757, -0.0969]","0.011"
"Size_Class_f2-5",-1.14,0.176,"[-1.49, -0.797]","<0.001"
"Size_Class_f5-10",-2.68,0.364,"[-3.39, -1.96]","<0.001"
"Size_Class_f10-15",-3.3,0.552,"[-4.38, -2.22]","<0.001"
"Size_Class_f15-20",-3.11,0.429,"[-3.95, -2.27]","<0.001"
"Size_Class_f20-50",-3.69,0.665,"[-4.99, -2.39]","<0.001"
"Size_Class_f50-100",-2.7,0.37,"[-3.42, -1.97]","<0.001"
"Size_Class_f100+",-0.0334,0.314,"[-0.648, 0.581]","0.915"
