"Sci_Name","L-mat (cm)","NR median size (cm)","AR median size (cm)","NR ≥ L-mat (%)","AR ≥ L-mat (%)"
"Ballistoides viridescens",41.5,5.5,12.5,5.3,0
"Caesio xanthonota",23.8,12.5,12.5,2,4.9
"Chaetodon octofasciatus",8.2,7.5,12.5,27.5,70.6
"Chaetodon weibeli",12.4,17.5,12.5,83.5,56.4
"Cheilinus fasciatus",23.8,17.5,35,25,57.1
"Diagramma pictum",31,35,35,83.3,100
"Ephippidae spp.",39.1,35,35,4.8,0
"Epinephelus fasciatus",39.1,17.5,35,0,23.8
"Epinephelus fuscoguttatus",51.8,17.5,35,15.8,35.5
"Flavocaranx bajad",24.8,35,35,71.8,72.6
"Gnathanodon speciosus",32.5,46.2,75,50,80
"Heniochus acuminatus",15.7,17.5,12.5,53.3,35.4
"Labroides dimidiatus",9.4,3.5,7.5,9,13
"Lutjanus argentimaculatus",57,55,75,50,60.6
"Lutjanus russellii",29,35,35,63,70.2
"Lutjanus vitta",15.3,17.5,35,91.5,98.7
"Neopomacentrus cyanomos",7,1.5,0.5,8,6
"Plectorhinchus chaetodonoides",47.4,75,55,100,50
"Plectorhinchus gibbosus",45.9,75,55,66.7,50
"Plectropomus spp.",37.3,35,35,2.6,29.1
"Pomacanthus annularis",26.5,17.5,35,44.4,60
"Pomacentrus alexanderae",6.5,1.5,1.5,11.6,6.5
"Scarus rivulatus",21.8,17.5,12.5,36.4,11.7
"Siganus javus",30.6,12.5,12.5,25.4,10.3
"Siganus virgatus",18.5,17.5,10,20,0
"Sphyraena barracuda",66,NA,35,NA,40
"Sphyraena flavicauda",28,35,35,92.7,98.9
"Sphyraena jello",81.7,NA,35,NA,0
"Sphyraena qenie",85.6,NA,35,NA,0
"Thalassoma lunare",26.5,7.5,7.5,1.1,5.6
"Turrum fulvoguttatum",69.2,35,75,11.1,52.6
