"Effect","Estimate","SE","CI","p_value"
"(Intercept)",-4.74,0.355,"[-5.44, -4.04]","<0.001"
"TypeArtificial",0.416,0.172,"[0.0788, 0.753]","0.016"
"life_stagemixed",1.88,0.209,"[1.47, 2.29]","<0.001"
"life_stageadult",-1.99,0.22,"[-2.42, -1.56]","<0.001"
"date_num",0.000297,0.000664,"[-0.001, 0.0016]","0.655"
"PairNo Name",0.00912,0.189,"[-0.36, 0.379]","0.961"
"PairSattakut",0.944,0.212,"[0.528, 1.36]","<0.001"
"Count.TypeStationary",4.38,0.168,"[4.05, 4.7]","<0.001"
"TypeArtificial:life_stagemixed",0.534,0.284,"[-0.0233, 1.09]","0.060"
"TypeArtificial:life_stageadult",1.99,0.285,"[1.43, 2.55]","<0.001"
