"Effect","Estimate","SE","CI","p_value"
"(Intercept)",-1.04,0.303,"[-1.63, -0.446]","<0.001"
"TypeArtificial",0.855,0.232,"[0.399, 1.31]","<0.001"
"life_stageadult",-0.526,0.217,"[-0.952, -0.0998]","0.016"
"PairNo Name",0.359,0.245,"[-0.121, 0.838]","0.143"
"PairSattakut",0.824,0.247,"[0.34, 1.31]","<0.001"
"date_num",0.000897,0.000522,"[-0.000125, 0.00192]","0.085"
"Count.TypeStationary",2.53,0.134,"[2.27, 2.79]","<0.001"
"TypeArtificial:life_stageadult",0.409,0.278,"[-0.135, 0.953]","0.141"
"TypeArtificial:PairNo Name",-0.54,0.322,"[-1.17, 0.0918]","0.094"
"TypeArtificial:PairSattakut",-0.468,0.355,"[-1.16, 0.227]","0.187"
"life_stageadult:PairNo Name",-0.755,0.281,"[-1.3, -0.205]","0.007"
"life_stageadult:PairSattakut",0.481,0.284,"[-0.075, 1.04]","0.090"
"TypeArtificial:life_stageadult:PairNo Name",0.229,0.374,"[-0.505, 0.963]","0.540"
"TypeArtificial:life_stageadult:PairSattakut",-0.658,0.393,"[-1.43, 0.113]","0.094"
