"Effect","Estimate","SE","CI","p_value"
"(Intercept)",4.27,0.191,"[3.89, 4.64]","<0.001"
"TypeArtificial",0.4,0.228,"[-0.0466, 0.847]","0.079"
"life_stageadult",-2.61,0.214,"[-3.03, -2.2]","<0.001"
"fgroupInvertivore",-3.31,0.252,"[-3.8, -2.81]","<0.001"
"fgroupMesopredator",-2.76,0.383,"[-3.51, -2.01]","<0.001"
"fgroupHTLP",-3.64,0.277,"[-4.18, -3.1]","<0.001"
"PairNo Name",0.151,0.161,"[-0.166, 0.467]","0.351"
"PairSattakut",0.48,0.174,"[0.14, 0.821]","0.006"
"date_s",0.061,0.065,"[-0.0663, 0.188]","0.347"
"Count.TypeStationary",NA,NA,"[NA, NA]",NA
"TypeArtificial:life_stageadult",-0.327,0.303,"[-0.922, 0.267]","0.281"
"TypeArtificial:fgroupInvertivore",-1.46,0.4,"[-2.25, -0.676]","<0.001"
"TypeArtificial:fgroupMesopredator",-0.446,0.481,"[-1.39, 0.496]","0.353"
"TypeArtificial:fgroupHTLP",-0.218,0.377,"[-0.958, 0.521]","0.563"
"life_stageadult:fgroupInvertivore",0.655,0.449,"[-0.224, 1.53]","0.144"
"life_stageadult:fgroupMesopredator",3.63,0.464,"[2.72, 4.54]","<0.001"
"life_stageadult:fgroupHTLP",1.6,0.383,"[0.853, 2.35]","<0.001"
"TypeArtificial:life_stageadult:fgroupInvertivore",1.76,0.685,"[0.413, 3.1]","0.010"
"TypeArtificial:life_stageadult:fgroupMesopredator",-0.223,0.6,"[-1.4, 0.954]","0.711"
"TypeArtificial:life_stageadult:fgroupHTLP",1.59,0.514,"[0.579, 2.59]","0.002"
